ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	NOME EVENTO	ANO	VOLUME	PAGINAS	ITEM
{22}		10.1109/ica-acca.2018.8609773	DE MELO, G.; VIEIRA, S. L.; CALIXTO, W. P.	Conformal Mapping applied in coding and decoding of audio signal	2018 IEEE International Conference on Automation/XXIII Congress of the Chilean Association of Automatic Control (ICAACCA)	2018		1-		
{21}			DUARTE, S. S.; DOS SANTOS, S. F.; MOREIRA, L. P.; LEANDRO, W. M.; DA FONSECA-ZANG, W. A.	Gênero e Agroecologia Compartilhando Experiências do Centro Vocacional Tecnológico Apinajé com as Guerreiras de Canudos	Agroecol	2018	13	-		
{2, 14}		10.1109/EEEIC.2018.8494564	FERREIRA, L. G. G. B.; ALVES, A. J.; DOMINGOS, J. L.	Analysis of Wind Loading on Photovoltaic Panels Mounting Brackets	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / ICPS Europe)	2018		1-		
{2, 22}		10.1109/EEEIC.2018.8494398	GOMES, P. H. G.; NETO P, A.; ALVES, A. J.; CALIXTO, W. P.	Influence of Finishing and Contact Pressure on Thermal Conduction of Thermoelectric Generator	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018		1-		
{2, 22}		10.1109/EEEIC.2018.8494426	GOMES, P. H.; NETO ANTONIO; ALVES, A. J.; CALIXTO, W. P.	Influence of the Inner Surface in Thermoelectric Waste Heat Recovery Ducts	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018		1-		
{15}			LEMOS, G. M. C.; ABREU, A. L. D.; DO NASCIMENTO, E. O.; OLIVEIRA, L.; BARROS, R. G.	Avaliação da Poluição Sonora em Estabelecimentos Educacionais de Goiânia, Goiás, Brasil	XIV - Simpósio Ítalo-Brasileiro de Engenharia Sanitária e Ambiental	2018	1	1-6		
{14}			MARTINS, A. M.; DOMINGOS, J. L.; ALVES, A. J.; FERREIRA, L. G. G. B.; FURTADO, B. C.	Qualitative Analysis of Low Wattage Led Lamps for Application on Lighting Retrofit	2018 18th IEEE International Cnference on Environment and Electrical Engineering	2018		-		
{14}			MARTINS, A. M.; MEDEIROS, C. A. G.; DOMINGOS, J. L.	Utilização de Sistemas Fotovoltaicos Conectados à Rede como Forma de Reduzir Picos de Demanda: Estudo de Caso no IFG Campus Goiânia	I Congresso Científico e II Workshop em Fontes Renováveis de Energia	2018		-		
{22}		10.1109/EEEIC.2018.8493655	MARTINS, D.; PACHECO, W.; DAMIN, V.	Device for Automatic Particle Size Analysis and the of Sedimentation Using Pattern Recognition	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018		1-		
{18, 2, 22}		10.1109/EEEIC.2018.8494430	MATIAS, C. A.; FURRIEL, G. P.; SANTOS, L. M.; CALIXTO, W. P.; BARBOSA, J. L. F.; DE OLIVEIRA, S. B.; ALVES, A. J.	Optimized Solar Simulator Structure for Uniform Irradiance Distribution	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018		1-		
{4}		10.1109/EEEIC.2018.8493850	NETO D; DOMINGUES, E. G.; PINTO, L. S.	Risk Analysis of Levelized Cost of Electricity to Renewable Energy in Brazil	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / ICPS Europe)	2018	unico	1-6		
{22}		10.1109/EEEIC.2018.8493772	PAIVA, J. R.; GOMES, V. M.; REIS, M. R.; WAINER, G.; CALIXTO, W. P.	Relationship Between Risk and Complexity in System Using Connection Based Metric	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / ICPS Europe)	2018		1-		
{4}		10.1109/EEEIC.2018.8494604	PINTO, L. S.; NETO PINHEI, D.; DOMINGUES, E. G.	Investment Risk Analysis of Electricity Generation from Vinasse Biodigestion in the Free Contracting Environment	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018	unico	1-1		
{7}			SA, F. P.; LIMA, L. P.; BORGES, E. C. L.	Estudio de Fotodegradación de Efluente Sintético Compuesto por los Colorantes Alimenticios, Rojo de Eritrosina y Azul Brillante: Utilizando Radiación Ultravioleta	XII Congreso Internacional de Desalación y Reutilización (AEDYR)	2018		-		
{7}			SA, F. P.; RESENDE, L. N.; BORGES, E. C. L.	Estudio de la Influencia del pH sobre la Fotodegradación del Colorante Amaranto por Radiación Solar	XII Congreso Internacional de Desalación y Reutilización (AEDYR)	2018		-		
{18, 2, 14}			SANTOS, L. M.; MATIAS, C. A.; SALLES, D. M.; DOMINGOS, J. L.; DOMINGUES, E. G.; ALVES, A. J.; OLIVEIRA, S. B.	Water application system on the surface of photovoltaic  panels to improve energy efficiency	18th IEEE International conference on environment and electrical engineering (IEEE/EEEIC)	2018		1-		
{1}			SILVA, B. P.; DOS SANTOS, A. M.	CARACTERIZAÇÃO DE ESTRADAS NÃO PAVIMENTADAS (ENPS) NO MUNICÍPIO DE APARECIDA DE GOIÂNIA, GOIÁS	32º Congresso de Pesquisa e Ensino em tTransportes da ANPET	2018	32	1-10		
{12}			SILVA, V. B.; ALCANTARA, J. D.; BATISTA, R. P.; LEANDRO, W. M.; ZANG, J. W.	Transição Agroecológica da Mandioca Cultivada na Comunidade do Cará, em Bela Vista de Goiás	AGROECOL 2018	2018	13	1-9		
{22}		10.1109/SBSE.2018.8395635	SOUZA, L. A. P.; SILVA, C. L. B.; CALIXTO, W. P.	Optimized setting of directional overcurrent relays via genetic algorithm	2018 Simposio Brasileiro de Sistemas Eletricos (SBSE)	2018		1-		
{22}		10.1109/EEEIC.2018.8494538	SOUZA, L. A. P.; SILVA, C. L. B.; CALIXTO, W. P.	Optimized Coordination of Directional Overcurrent Relays Using Genetic Algorithm	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018		1-		
{4}			STACH, A. H. M.; COSTA, A. N.; NETO D; DOMINGUES, E. G.; MEDEIROS, G. P.	Aproveitamento do biogás de aterro sanitário: análise de viabilidade econômica de alternativas tecnológicas de geração de eletricidade	I Congresso Científico em Fontes Renováveis de Energia	2018	unico	-		
{22}		10.1109/EEEIC.2018.8493781	TSURUDA, L. K.; VITOR, L. R.; SOUZA, M. B. S. E.; CALIXTO, W. P.; REIS, M. R. C.; FONSECA, Y. V. P.	Evaluation of Technologies to Reduce Energy and Water Consumption in Popular Housing	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018		1-		
{14}		10.1109/EEEIC.2018.8493726	VIAJANTE, G. P.; CHAVES, E.; FREITAS, M.; DOMINGOS, J.; FIDELIS, R.; GOMES, L. C.; ANDRADE, D. A.	Study and Dynamic Performance Analysis of a Switched Reluctance Generator 8/6 for Wind Energy Application	2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / Iamp;CPS Europe)	2018		1-		
{2, 22, 14}		10.1109/urucon.2017.8171885	JUNIOR ALELUIA, L. C.; ALVES, A. J.; MAGALHAES, A. S.; SILVA, A.; CALIXTO, W. P.; DOMINGOS, J. L.; DOMINGUES, E. G.; MATIAS, C. A.	Attenuation methodology for torque oscillations in synchronous machine	2017 IEEE URUCON	2017		1-		
{2, 22, 14}		10.1109/urucon.2017.8171884	JUNIOR ALELUIA, L. C.; ALVES, A. J.; MAGALHAES, A. S.; SILVA, A.; CALIXTO, W. P.; MATIAS, C. A.; DOMINGUES, E. G.; DOMINGOS, J. L.	AC components insertion into rotor of synchronous generator for damping of harmonics on current in bar	2017 IEEE URUCON	2017		1-		
{2, 22}		10.1109/EPE.2017.7967325	ANICETO, B. C. M.; VILELA, W. A.; NETO CAETA, J.; RODRIGUES, B. U.; CARARO, J. A. G.; GOMES, V. M.; SILVA, A. H. F.; FREITAS, J. L.; SILVA, D. C.; GOMES, F. A.; SANTOS, P. V.; NIELSON, R.; REIS, M. R. C.; GALVAO, N. K. M.; ALVES, A. J.; SILVA, L. F. A.; CALIXTO, W. P.	Calculation and analysis of voltage violation problem on electricity distribution networks	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{22}		10.1109/CHILECON.2017.8229732	ARAJO, W. R. H.; REIS, M. R. C.; CALIXTO, W. P.; WAINER, G. A.; MAGALHES, A. S.; GOMES, F. A.	Nonlinear simulation methodology for switched reluctance machine using induction profile found by parametric regression	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{18, 22}		10.1109/EPE.2017.7967345	ARAUJO, V. K. A.; DE ALMEIDA, S.; DE OLIVEIRA, S. B.; CALIXTO, W. P.; FURRIEL, G. P.; BARBOSA, D. P.	Anaerobic digestion using residue of soybean processing: Biogas production and it is potential to generate energy	18th International Scientific Conference on Electric Power Engineering (EPE), 2017	2017		1-		
{22}		10.1109/CHILECON.2017.8229728	BARBOSA, J. L. F.; FURRIEL, G. P.; CALIXTO, W. P.	Improved optimization methodology for high power LED matrix luminaire	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{2, 22}		10.1109/EPE.2017.7967331	BEZERRA, C. D. S.; CALIXTO, W. P.; REIS, M. R. C.; BEZERRA, C. A. V.; ALVES, A. J.	Optimization of the operation power of DC-DC converters applied to thermogenerators	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{22}		10.1109/EPE.2017.7967296	BOTELHO, J. L.; OLIVEIRA, J. R.; REIS, M. R. C.; SILVA, F. S.; DO COUTO, L. A.; ARAUJO, W. R. H.; CALIXTO, W. P.; MAGALHAES, A. S.; FURRIEL, G. P.	Parametric regression methodology and optimized control for DC motor	2017 18th International Scientific Conference on Electric Power Engineering (EPE)	2017		1-		
{22}		10.1109/CHILECON.2017.8229730	BULHOES, J. S.; ASSIS, A. O.; MARTINS, C. L.; FURRIEL, G. P.; SILVA, B. C. R.; RODRIGUES, L.; REIS, M. R. C.; CALHEIROS, D. F.; OLIVEIRA, M. D.; CALIXTO, W. P.	Gap filling in time series: A new methodology applying spectral analysis and system identification	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
{5}			CALIXTO, D. D.; GUIMARAES, F. D.; CALIXTO, L. D.; CREMON, E. H.	ANÁLISE COMPARATIVA EM IMAGENS OLI/LANDSAT-8 E MSI/SENTINEL-2 NO MAPEAMENTO DO USO E COBERTURA DA TERRA	IV SBG - Simpósio Brasileiro de Geomática e II Jornadas Lusófonas sobre Ciências e Tecnologias de Informação Geográfica/CTIG	2017		180-185		
{22}			CARARO, J. A. G.; SILVA, A. H. F.; ANICETO, B. C. M.; REIS, M. R. C.; RODRIGUES, B. U.; GALVAO, N. K. M.; JUNIOR VILELA, W. A.; CALIXTO, W. P.	Otimização da inserção de geração distribuída fotovoltaica em rede de distribuição de energia	Congresso de Pesquisa, Ensino e Extensão	2017		-		
{22}		10.1109/CHILECON.2017.8229727	CARARO, J. A. G.; SILVA, A. H. F.; ANICETO, B. C.; REIS, M. R. C.; RODRIGUES, B. U.; GALVAO, N. K. M.; VILELA, W. A.; NETO CAETA, J.; CALIXTO, W. P.	Optimizing of the insertion of distributed generation into a power distribution network	2017 CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)	2017		1-		
