ID-MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM
{7}		VIEIRA, L. L.; BORGES, E. C. L.; SA, F. P.	Reaproveitamento de Resíduos Sólidos Orgânicos para a Geração de Energia Térmica a partir da Biodigestão Aeróbia	2020	13º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{17}		CAIXETA, V.; CAMPOS, A. T.; SIQUEIRA, M. B. B.; DA FONSECA, R. C. B.; BRAGA, G. C. B.; ALVES, A.	SIMULAÇÃO NUMÉRICA DA EXAUSTÃO DE FUMAÇA POR MEIO DE CONVECÇÃO NATURAL EM DUTOS DE ESCADAS DE EMERGÊNCIA	2019	IBERIAN-LATIN-AMERICAN CONGRESS ON FIRE SAFETY (5 CILASCI). (Congresso)		
{7}		CALIL, M. M.; MOTA, K. M.; SA, F. P.; BORGES, E. C. L.	Processo Eletrolítico para Tratamento de Água	2019	VIII Seminário sobre Tecnologias Limpas. (Seminario)		
{7}		CALIL, M. M.; MOTA, K. M.; SA, F. P.; BORGES, E. C. L.	Química Verde: Processo Eletrolítico para Tratamento de Água Bruta	2019	12º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{7}		CARDOSO, P. H. S.; BORGES, E. C. L.; SA, F. P.	Adsorção de Corante Alimentício Amarelo Tartrazina por Hidrocalumita	2019	59º Congresso Brasileiro de Química. (Congresso)		
{7}		CARVALHAIS, A. L. A.; LOPES, W. O.; BORGES, E. C. L.; SA, F. P.	Desenvolvimento de Sistema Automatizado para Medidas de Eficiência de Células Fotovoltaicas Orgânicas Sensibilizadas por Corantes	2019	12º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{7}		CARVALHAIS, A. L. A.; LOPES, W. O.; SA, F. P.; BORGES, E. C. L.	Estudo da Eficiência de Células Fotovoltaicas Orgânicas Sensibilizadas por Corantes	2019	VIII Seminário sobre Tecnologias Limpas. (Seminario)		
{17}		JUNIOR AMARAL, P. R. R.; BRAGA, G. C. B.; CAMPOS, A. T.; SIQUEIRA, M. B. B.; DA FONSECA, R. C.; ALVES, A. B. C. G.	PROTOTIPAGEM DA EXAUSTÃO DE FUMAÇA POR MEIO DE CONVECÇÃO NATURAL EM DUTOS DE ESCADA DE EMERGÊNCIA	2019	IBERIAN-LATIN-AMERICAN CONGRESS ON FIRE SAFETY (5 CILASCI). (Congresso)		
{1}		PORTIS, G. T.; SOUZA, J. F.; SANTOS, A. M. D.	ANÁLISE ESPAÇO-TEMPORAL DA ALTERAÇÃO NO USO DO SOLO NA REGIÃO DA RUA 44 EM GOIÂNIA, E SEUS IMPACTOS NA ACESSIBILIDADE E MOBILIDADE URBANA	2019	6° Fórum Goiano de Mobilidade Urbana e Trânsito. (Outra)		
{1}		SANTOS, A. M. D.; MEIRELE, L. K. A.; SO, P. T. O.	APRENDER FAZENDO: RELATO DE UMA EXPERIÊNCIA EM EDUCAÇÃO PARA O TRÂNSITO NA REDE ESTADUAL DE ENSINO, CIDADE DE GOIÂNIA	2019	6° Fórum Goiano de Mobilidade Urbana e Trânsito. (Outra)		
{1}		SANTOS, A. M. D.; MEIRELES, J. L.; SO, V. C. O.	EDUCAÇÃO PARA O TRÂNSITO NUMA ESCOLA DA REDE MUNICIPAL DE ENSINO, CIDADE DE GOIÂNIA	2019	6° Fórum Goiano de Mobilidade Urbana e Trânsito. (Outra)		
{7}		SILVA, H. C.; SILVA, J. S.; BORGES, E. C. L.; SA, F. P.	Tratamento de Efluente Sintético Colorido, por Nanocompósitos Magnéticos Lamelares #61543;-Fe2O3/HDL e #61543;-Fe2O3/Ca	2019	VIII Seminário sobre Tecnologias Limpas. (Seminario)		
{7}		SILVA, H. C.; SILVA, J. S.; BORGES, E. C. L.; SA, F. P.	Tratamento de Efluente Sintético Composto pelos Corantes Alimentícios, Amarelo Tartrazina e Azul Indigotina, por Nanocompósitos Magnéticos Lamelares -Fe2O3/HDL e -Fe2O3/Carvão Ativado	2019	12º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{7}		ALMEIDA, C. G.; VIEIRA, C. M. S.; SA, F. P.; BORGES, E. C. L.	Determinação da Migração de Metais das Panelas Durante o Cozimento de Alimentos	2018	11º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{18}		ALVES, A. C. F.; SCALIZE, P. S.; MURILO, D. V. T.; CARVALHO, M. F.; GIL, E. S.; DE OLIVEIRA, S. B.	Estudo eletroquímico da adsorção de bisfenol A em carvão ativado comercial	2018	XXIII Congreso de la Sociedad Iberoamericana de Electroquímica. (Congresso)		
{5}		CREMON, E.; SILVA, A. M. S.; MONTANHER, O. C.	Estimativa de sedimentos suspensos por reflectância aparente dos dados TM/Landsat-5 no rio Araguaia	2018	XII Simpósio Nacional de Geomorfologia - SINAGEO. (Simposio)		
{18}		DE OLIVEIRA, S. B.	O Profissional da química: Setor produtivo	2018	2a. Semana da Química do IFGoiano - Campus Iporá. (Conferencia)		
{18}		DE OLIVEIRA, S. B.	MotoDéco	2018	3a. SECITEC 2018. (Conferencia)		
{18}		DE OLIVEIRA, S. B.	Água subcr´tica e supercrítica - aplicações tecnológicas	2018	1º Encontro Nacional de Hidrotecnologia. (Conferencia)		
{7}		FILHO JESU, P. S.; SA, F. P.; BORGES, E. C. L.	Tratamento de Efluente Composto pelos Corantes Alimentícios Amarelo Crepúsculo e Azul Indigotina, Utilizando Radiação Solar	2018	11º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{7}		GARCIA, R. Q.; SANTOS, M. G. S.; SA, F. P.	Estudo da Interferência da Poluiçao Luminosa nas Observações Astronômicas	2018	VIII Seminário Local de Iniciação Científica. (Seminario)		
{7}		GARCIA, R. Q.; SANTOS, M. G. S.; SA, F. P.	A Influência da Poluição Luminosa nas Observações Astronômicas	2018	11º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{2}		MATIAS, C. A.; FURRIEL, G. P.; SANTOS, L. M.; ALVES, A. J.; BARBOSA, J. L. F.; OLIVEIRA, S. B.; CALIXTO, W. P.	optimized solar simulator structure for uniform irradiance distribution	2018	18th IEEE International conference on environment and electrical engineering (IEEE/EEEIC). (Congresso)		
{7}		NETO CAMP, V. G.; SILVEIRA, J. M. D.; SILVA, W. D.; SA, F. P.; BORGES, E. C. L.	Monitoramento Químico e Microbiológico das Águas do IFG - Câmpus Inhumas	2018	11º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{4}		NETO D; DOMINGUES, E. G.; PINTO, L. S.	Risk Analysis of Levelized Cost of Electricity to Renewable Energy in Brazil	2018	18th International Conference on Environment and Electrical Engineering. (Conferencia)		
{15}		OLIVEIRA, L.	Avaliação da Poluição Sonora em Estabelecimentos Educacionais de Goiânia, Goiás, Brasil	2018	XIV - Simpósio Ítalo Brasileiro de Engenharia Sanitária e Ambiental. (Simposio)		
{18}		OLIVEIRA, S. B.	Vaorização e Tratamento de resíduos em Condições Subcríticas e Supercríticas	2018	VI Simpósio da Engenharia Ambiental e Sanitária da FAMA. (Conferencia)		
{4}		PINTO, L. S.; NETO D; DOMINGUES, E. G.	Investment Risk Analysis of Electricity Generation from Vinasse Biodigestion in the Free Contracting Environment	2018	18th International Conference on Environment and Electrical Engineering. (Conferencia)		
{7}		SA, F. P.	Termovalorização de Resíduos Sólidos Urbanos por Processo Aeróbio - Combustível Derivado de RSU	2018	VIII Seminário Local de Iniciação Científica. (Seminario)		
{7}		SA, F. P.	Adsorção e Fotodegradação para Tratamento de Efluentes de Indústrias Alimentícias	2018	I Semana da Engenharia Química. (Conferencia)		
{7}		SA, F. P.; COSTA, L. S. O.	Mesa Redonda - A Iniciação Científica no IFG	2018	VIII Seminário Local de Iniciação Científica. (Seminario)		
{7}		SA, F. P.; LIMA, L. P.; BORGES, E. C. L.	Estudio de Fotodegradación de Efluente Sintético Compuesto por los Colorantes Alimenticios, Rojo de Eritrosina y Azul Brillante: Utilizando Radiación Ultravioleta	2018	XII Congreso Internacional de Desalación y Reutilización (AEDYR). (Congresso)		
{7}		SA, F. P.; RESENDE, L. N.; BORGES, E. C. L.	Estudio de la Influencia del pH sobre la Fotodegradación del Colorante Amaranto por Radiación Solar	2018	XII Congreso Internacional de Desalación y Reutilización (AEDYR). (Congresso)		
{7}		SANTOS, G. L. S.; SA, F. P.	Estudo da Eficiência de Compostos Orgânicos Biodigeridos na Geração de Energia Elétrica	2018	VIII Seminário Local de Iniciação Científica. (Seminario)		
{2}		SANTOS, L. M.; ALVES, A. J.; SALLES, D. M.; MATIAS, C. A.; DOMINGOS, J. L.; DOMINGOS, E. G.; OLIVEIRA, S. B.	Water application system on the surface of photovoltaic panels to improve energy efficiency	2018	18th IEEE International conference on environment and electrical engineering (IEEE/EEEIC). (Congresso)		
{7}		SILVA, J. H.; OLIVEIRA, G. D.; PATRIARCA, B. M.; SA, F. P.	Estudo da Eficiência de Células Fotovoltaicas Orgânicas Sensibilizadas por Corantes Alimentícios	2018	11º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{7}		SILVA, J. S.; SILVA, H. C.; SA, F. P.	Adsorção do Corante Alimentício, Amarelo Tartrazina, por Nanocompósitos Magnéticos Lamelares #61543;-Fe2o3/Hdl e #61543;-Fe2o3/Carvão Ativado	2018	VIII Seminário Local de Iniciação Científica. (Seminario)		
{7}		SILVA, J. S.; SILVA, H. C.; SA, F. P.	Adsorção de Corante Alimentício Amarelo Tartrazina por Nanocompósitos Magnéticos Lamelares	2018	11º Seminário de Iniciação Científica e Tecnológica do IFG. (Seminario)		
{1}		VIEIRA, J. C. S.; ABREU, G. P.; SANTOS, A. M. D.	Análise espacial dos Acidentes nas Rodovias Federais em Goiás/2016	2018	5° Fórum Goiano de Mobilidade Urbana e Trânsito e V Seminário de Saúde Pública e Trânsito. (Outra)		
{12}		ZANG, J. W.	Biogas ? um multitalento. De resíduos para energia e materiais	2018	A política nacional de Biocombustíveis: os impactos do RenovaBio.. (Conferencia)		
{12}		ZANG, J. W.; MARTINS, K. F.; DA FONSECA-ZANG, W. A.	ICEER 2018	2018	5th International Conference on Energy and Environment Research - ICEER 2018. (Congresso)		
{7}		ANTONIO, D. L. A.; PACHECO, G. M. F. G.; SA, F. P.; CAIADO, K. L.	Estudo da Adsorção dos Corantes Alimentícios, Verde Rápido e Vermelho Eritrosina, com o uso de Nanocompósito Magnético #61543;-Fe2O3/Carvão Ativado	2017	Simpósio de Pesquisa, Ensino e Extensão - SIMPEEX. (Simposio)		
{18}		ARAUJO, V. K. A.; ALMEIDA, S.; DE OLIVEIRA, S. B.; CALIXTO, W.; FURRIEL, G. P.; BARBOSA, D. P.	Anaerobic digestion using residue of soybean processing: biogas production and it is potential to generate energy	2017	18th International Scientific Conference on Electric Power Engineering (EPE 2017). (Congresso)		
{18}		BALEEIRO, F.; OLIVEIRA, S. B.; BARROS, K.; OTHONI, L.; NATAL, B.; XAVIER, M.	ESTUDO CINÉTICO DA ADSORÇÃO DE CORANTE TARTRAZINA PELO AGAÇO DE CANA TRATADO HIDROTERMICAMENTE EM PRESENÇA DE GLICEROL BRUTO EM PH ÁCIDO E ALCALINO	2017	57º Congresso Brasileiro de Química. (Congresso)		
{2}		BEZERRA, C. D. S.; CALIXTO, W. P.; REIS, M. R. C.; BEZERRA, C. A. V.; ALVES, A. J.	Optimization of the Operation Power of DC-DC Converters Applied to Thermogenerators	2017	18th International Scientific Conference on Electric Power Engineering (EPE). (Congresso)		
{5}		CREMON, E. H.; ROSSETTI, D.	Morphodynamics and Anabranching Pattern of Branco River - Northern Amazonia	2017	9th International Conference on Geomorphology. (Conferencia)		
{17}		CUNHA, L. M. P.; ARAUJO, H. C. M. P.; FELIX, F. A.; FELIX, S. A. A.; DA FONSECA, R. C.	CURVAS CÔNICAS E SUAS APLICAÇÕES EM PROBLEMAS DE TRAJETÓRIAS USANDO O SOFTWARE GEOGEBRA	2017	III Congresso de Ciência e Tecnologia da PUC Goiás. (Congresso)		
{14}		DOMINGOS, J. L.	Eficiência Energética e Geração Distribuída no Contexto das Energias Renováveis	2017	IV Semana de Engenharia do Departamento de Áreas Acadêmicas IV do Campus Goiãnia da do IFG. (Conferencia)		
{17}		FELIX, F. A.; FELIX, S. A. A.; CUNHA, L. M. P.; ARAUJO, H. C. M. P.; DA FONSECA, R. C.	FUNÇÕES SENO E COSSENO E SUAS RELAÇÕES NOS MCU E MHS USANDO O SOFTWARE GEOGEBRA	2017	III Congresso de Ciência e Tecnologia da PUC Goiás 2017. (Congresso)		
{17}		FERREIRA, F. C. O.; OLIVEIRA, M. M.; DA FONSECA, R. C.	Modelagem Matemática das equações que descrevem as Superfícies Quádricas Centradas com o recurso do software GeoGebra	2017	Simpósio de Pesquisa, Ensino e Extensão do Instituto Federal de Goiás. (Simposio)		
{2}		FERREIRA, L. G. G. B.; DOMINGOS, J. L.; ALVES, A. J.; CALIXTO, W. P.; DOMINGOS, E. G.; LIMA, R. A.	Wind´s actions effects on photovoltaic panels installed on rooftop of buildings	2017	18th International Scientific Conference on Electric Power Engineering (EPE). (Congresso)		
{2}		LEOVIR, C. A.; MAGALHAES, A. S.; SILVA, A. H. F.; CALIXTO, W. P.; ALVES, A. J.; MATIAS, C. A.; DOMINGOS, E. G.; DOMINGOS, J. L.	Attenuation methodology for torque oscillation in synchronous machine	2017	URUCON 2017. (Congresso)		
{2}		LEOVIR, C. A.; MAGALHAES, A. S.; SILVA, A. H. F.; CALIXTO, W. P.; ALVES, A. J.; MATIAS, C. A.; DOMINGOS, E. G.; DOMINGOS, J. L.	AC components insertion into rotor of synchronous generator for damping of harmonics on current in bar	2017	URUCON 2017. (Congresso)		
{7}		NETO CAMP, V. G.; SA, F. P.	Reaproveitamento de Águas Plúviais	2017	I Mostra Científica - III Simpósio de Educação, Tecnologia e Sociedade. (Outra)		
{4}		NETO PINHEI, D.; DOMINGUES, E. G.; ALVES, A. J.; CALIXTO, W. P.	Investment Risk Analysis for Small Hydro Power Plants in the Short Term Market in Brazil	2017	IEEE Chilecon. (Congresso)		
{17}		OLIVEIRA, M. M.; SOUZA, C. R.; DA FONSECA, R. C.	MODELAGEM MATEMÁTICA DAS EQUAÇÕES QUE DESCREVEM AS SUPERFÍCIES QUÁDRICAS NÃO CENTRADAS COM O RECURSO DOS SOFTWARES GEOGEBRA E MAPLE	2017	Simpósio de Pesquisa, Ensino e Extensão do Instituto Federal de Goiás. (Simposio)		
{18}		OLIVEIRA, S. B.	Produção de Bioenergia a partir de resíduos	2017	I Encontro Regional da Sociedade Brasileira de Química ? Centro-Oeste. (Conferencia)		
{18}		OLIVEIRA, S. B.; BARBOSA, D. P.; CUNHA, K. C.	PRODUÇÃO DE BIOGAS A PARTIR DA MISTURA DE LODO GERADO EM INDÚSTRIA ALIMENTÍCIA E DO GLICEROL BRUTO PROVENIENTE DA FABRICAÇÃO DE BIODIESEL	2017	V Simpósio Internacional sobre gerenciamento de resíduos agropecuários e agroindustriais. (Simposio)		
{18}		PACHECO, R. V.; GORETE, M. E.; SUZUKI, L.; BRUM, S. S.; OLIVEIRA, S. B.	MATERIAIS CARBONÁCEOS OBTIDOS A PARTIR DA CARBONIZAÇÃO HIDROTÉRMICA DE ESPÉCIES DO TIPO MAGONIA PUBESCENS (TINGUI) E SUA AVALIAÇÃO EM PROCESSOS DE ADSORÇÃO	2017	VII CONGRESSO BRASILEIRO DE CARBONO. (Congresso)		
{17}		QUEIROZ, L. L. M.; QUEIROZ, M. L. M.; DA FONSECA, R. C.	ESTUDO SOBRE AS TRELIÇAS APLICADO À ENGENHARIA DE TRANSPORTES	2017	Simpósio de Pesquisa, Ensino e Extensão do Instituto Federal de Goiás. (Simposio)		
{18}		RAMOS, I. M. A.; FARIAS, F. P.; FARIA, S. P.; SANTIAGO, M. F.; OLIVEIRA, S. B.	Pré-Tratamento ENZIMÁTICO DE cana energia para Produção de Biogás	2017	X Encontro Nacional de Tecnologia Química. (Outra)		
{18}		RAMOS, I. M. A.; SANTIAGO, M. F.; FARIAS, F. P.; OLIVEIRA, S. B.; FARIA, S. P.	PRÉTRATAMENTO ENZIMÁTICO DE CANA ENERGIA PARA OBTENÇÃO DE BIOGÁS	2017	X ENCONTRO NACIONAL DE TECNOLOGIA QUÍMICA. (Congresso)		
{7}		RODRIGUES, H. O.; SA, F. P.; BORGES, E. C. L.	Estudo de Adsorção do Corante Alimentício, Azul Brilhante, de Soluções Aquosas com o uso de Hidróxido Duplo Lamelar (HDL)	2017	Simpósio de Pesquisa, Ensino e Extensão - SIMPEEX. (Simposio)		
{7}		SA, F. P.; BORGES, E. C. L.; GARCIA, R. M.	Photodegradation of Food Dye, Red 40, Using Ultraviolet Radiation	2017	10th World Congress of Chemical Engineering. (Congresso)		
{7}		SANTOS, G. L. S.; SA, F. P.	Energia Limpa: Motor de Stirling	2017	I Mostra Científica - III Simpósio de Educação, Tecnologia e Sociedade. (Outra)		
{2}		SANTOS, L. M.; ALVES, A. J.; SALLES, D. M.; MATIAS, C. A.; DOMINGOS, J. L.; DOMINGUES, E. G.; CALIXTO, W. P.	Technical Analysis of the application of water in the improvement of the electrical efficiency in photovoltaic panels	2017	URUCON 2017. (Congresso)		
{7}		SANTOS, M. G. S.; GARCIA, R. Q.; SA, F. P.	A Influência das Poluições, Atmosférica e Luminosa, nas Observações Astronômicas	2017	Simpósio de Pesquisa, Ensino e Extensão ? SIMPEEX. (Simposio)		
{7}		SILVA, M. A. L. A.; RODRIGUES, H. O.; SA, F. P.	Filtro Magnético Dinâmico	2017	I Mostra Científica - III Simpósio de Educação, Tecnologia e Sociedade. (Outra)		
{7}		SILVA, M. A. L. A.; SA, F. P.	Adsorção por Nanocompósitos Magnéticos Lamelares #61543;-Fe2o3/HDL, do Corante Alimentício, Vermelho Bordeuax	2017	Simpósio de Pesquisa, Ensino e Extensão ? SIMPEEX. (Simposio)		
