ID_MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	NOME EVENTO	ANO	VOLUME	PAGINAS	ITEM
{18}			PACHECO, R. V.; BRUM, S. S.; OLIVEIRA, S. B.	CARBONIZAÇÃO HIDROTERMAL DAS CASCAS DO FRUTO DE TINGUI: CARACTERIZAÇÃO E AVALIAÇÃO COMO ADSORVENTE ALTERNATIVO	12 Encontro Nacional sobre Adsorção	2018		-		
{1}			RAMOS, H. F.; NUNES, F. G.; DOS SANTOS, A. M.; SOARES, D. O.; SANTOS, R. L.	Análise espacial da desigualdade socioterritorial na cidade de Goiânia, Goiás, Brasil	PLURIS 2018 - 8º CONGRESSO LUSO-BRASILEIRO para o Planeamento Urbano, Regional, Integrado e Sustentável	2018	8	1208-1220		
{1}			SOUSA, L. R. P.; COUTO, M. S. D. S.; SALES, J. C.; FERREIRA, M. E.; RAMOS, H. F.; DOS SANTOS, A. M.; NUNES, F. G.; SILVA, M. C. E.	GEOPROCESSAMENTO APLICADO À ANÁLISE MULTITEMPORAL DO DESMATAMENTO DA CIDADE DE SENADOR CANEDO UTILIZANDO IMAGENS ORBITAIS (1990-2015)	8º CONGRESSO LUSO-BRASILEIRO PARA O PLANEAMENTO URBANO, REGIONAL, INTEGRADO E SUSTENTÁVEL (PLURIS 2018)	2018	8	983-993		
{18}			BARBOSA, D. P.; OLIVEIRA, S. B.; CUNHA, K. C.	PRODUÇÃO DE BIOGÁS A PARTIR DA MISTURA DO LODO GERADO EM INDÚSTRIA ALIMENTÍCIA E DO GLICEROL BRUTO PROVENIENTE FABRICAÇÃO DE BIODIESEL	V International Symposium on Agricultural and Agroindustrial Waste Management	2017		-		
{1}			CONCEICAO, M. F.; SANTOS, A. M. D.	Mapeamento do uso do solo e sua relação com o transporte público na cidade de Aparecida de Goiânia/Goiás	XXVII Congresso Brasileiro de Cartografia	2017	27	1-5		
{1}			FREIRE, B. F.; SANTOS, A. M. D.	Análise espacial do número de acidentes no trânsito dos municípios de Goiás	21 Congresso Brasileiro de Transportes e Trânsito	2017	21	1-8		
{12}			GONCALVES, M. X.; ZANG, J. W.	DESENVOLVIMENTO DE REATORES ANAERÓBIOS PARA DETERMINAÇÃO DE POTENCIAL METANOGÊNICO	57º CONGRESSO BRASILEIRO DE QUÍMICA	2017		-		
{22}			JUNIOR CASTRO, A. P.; GOMES, V. M.; SILVA, L. F. A.; CAMPOS, P. H. M.; VEIGA, E. F.; CALIXTO, W. P.	Ontology to Mining Judicial Sentence's Big Data	International Conference on Alive Engineering Education	2017		33-34		
{1}			PEREIRA, W. A.; SANTOS, A. M. D.; SILVA, D. A.	Análise espacial exploratória da pecuarização no sul da Amazônia Ocidental	XII Encontro Nacional da Associação de Pós-graduação e Pesquisa em Geografia	2017	12	562-573		
{7}			ROCHA, G. H. A. M.; ASSUNCAO, S. G. S.; SA, F. P.	Protótipo de Matriz para Tratamento dos Efluentes de Indústrias Alimentícias com Materiais de Baixo Custo	57º Congresso Brasileiro de Química	2017		-		
{1}			SANTOS, A. M. D.; RAMOS, H. F.; PEREIRA, W. A.; NUNES, F. G.	O uso de geotecnologia para a caracterização dos focos de queimadas e dos usos da terra no município de Porto Velho/RO	Congresso Brasileiro de Cartografia: Rio de Janeiro RJ	2017	27	1-5		
{1}			SILVA, D. A.; PEREIRA, W. A.; SANTOS, A. M. D.	Sensoriamento remoto como instrumento de análise de gestão de bacias hidrográficas: estudo de caso na bacia do Rio Comemoração/RO	XII Encontro Nacional da Associação de Pós-graduação e Pesquisa em Geografia	2017	12	14073-14084		
{18}			OLIVEIRA, S. B.; SOUZA, L. B.; BARBOSA, D. P.	The use of hydrothermal reaction for synthesis of TiO2 doped with nitrogen and carbon, Pd and Sn applied as support for photocatalytic reduction of nitrate in water	Environment 2016: Eco-processes, remediation and/or recovery of waste and effluents for a sustainable environment	2016		-		
{21}			DE ALMEIDA, S.; TEIXEIRA, L. S. M.; ZANG, J. W.; FONSECA-ZANG, W. A.	ESTUDO COMPARATIVO ENTRE EXTRAÇÕES ÁCIDAS EM SISTEMAS ABERTO E FECHADO PARA DETERMINAÇÃO DE CONTAMINANTES EM MIX-MICRO?S	CBQ, Congresso Brasileiro de Química, 55.	2015		-		
{21}			MENEZES, M. P.; DE FREITAS, R. A.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; OLIVEIRA, C. B. A.; TEIXEIRA, L. S. M.	Hidrocarvão no aproveitamento de Vinhaça e Torta de Filtro como Condicionador de Solo	Congresso Brasileiro de Solos, 34.	2015		-		
{12}			MUNIZ, M. P.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; SCHUECH, A.; EICHLER-LOEBERMANN, B.; LEANDRO, W. M.	Soybean Growth Affected by the Application of Biodigestates from Sugar Cane Vinasse	TROPENTAG 2015:  Management of land use systems for enhanced food security ? conflicts, controversies and resolutions	2015		-		
{18, 12}			ZANG, J. W.; FONSECA-ZANG, W.; LEANDRO, W. M.; COLLIER, S.; JABLONOVISKI, N.; SCHUCH, A.; JR, A. L.; DE OLIVEIRA, S. B.; MUNIZ, M. P.	Plant Phenotyping Tests Using Anaerobic Digested Vinasse and Filter Cake from the Brazilian Sugar Cane Industry	TROPENTAG 2015:  Management of land use systems for enhanced food security ? conflicts, controversies and resolutions	2015		-		
{2}			FILHO SILV, A. M.; FERRAZ, R. S.; GODOI, F. F. F.; ALVES, A. J.; DOMINGUES, E. G.; SILVA, J. R. S.; PROFETA, F. A.; SILVA, C. L. B.; CALIXTO, W. P.	GEOPROSPECTING APPLIED TO SOIL CHARACTERIZATION	9th International Symposio AgroEnviron	2014		-		
{2}			FILHO SILV, A. M.; PEREIRA, T. M.; GODOI, F. F. F.; SILVA, J. R. S.; MONTEIRO, T. K. M.; SILVA, M. C.; ALVES, A. J.; MIRANDA, M. C. C.; SILVA, C. L. B.; CALIXTO, W. P.; NARCISO, M. G.	Identification of soil's variability through geoprospecting	9th International Symposium AgroEnviron, 2014.	2014		-		
{2}			FURRIEL, G. P.; NASCIMENTO, R. N. C.; DOMINGUES, E. G.; ALVES, A. J.; CALIXTO, W. P.	Controle de MIT por inversores de frequência versus controle por escorregamento em sistemas de bombeamento: Uma avaliação qualitativa	Congresso de Pesquisa, Ensino e Extensão,  XI CONPEEX, 2014	2014		-		
{18, 2}			RAMOS, A. C. L.; CALIXTO, W. P.; ALVES, A. J.; DOMINGUES, E. G.; OLIVEIRA, S. B.; COELHO, S. T.	Preliminary Results on the Energetic use of Biogas Produced in a Food Industry Facility: Technical and Commercial Arrangements.	22nd European Biomass Conference and Exhibition, 2014, Hamburg, Germany. 22 nd EU BCE 2014,	2014		-		
{2}			SILVA, A. H. F.; SILVA, U. F.; MAGALHAES, A. S.; ALVES, A. J.; DOMINGUES, E. G.; CALIXTO, W. P.	Cálculo de Capacitância em Capacitores de Placas Cilíndricas e Semicilíndricas Utilizando Transformações Conformes.	Congresso de Pesquisa, Ensino e Extensão, 2014	2014		-		
{2}			SILVA, C. A.; SANTOS, L. E. B.; ALVES, A. J.; DOMINGUES, E. G.; CALIXTO, W. P.	Simulação das filas dos elevadores do Fórum da Cidade de Goiânia utilizando o Software Arena	XI Congresso de pesquisa, ensino e extensão - CONPEEX	2014		-		
{12, 21}			TOLOTE, L. S.; DE ALMEIDA, S.; DA FONSECA-ZANG, W. A.; TEIXEIRA, L. S. M.; ZANG, J. W.	COMPARAÇÃO DE METODOLOGIAS DE DIGESTÕES ÁCIDAS ÚMIDAS EM SISTEMAS ABERTO E FECHADO PARA DETERMINAR O CONTAMINANTE MERCÚRIO EM FERTILIZANTE ORGÂNICO	Seminário de Iniciação Científica e Tecnológica SEMINÁRIO DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA, 8.	2014		-		
{21}			DA SILVA, S. V.; FIGUEIREDO, F. J. Q.; FONSECA-ZANG, W. A.	?Teletandem language learning in a technological context of education: interactions between Brazilian and German students?	Miami -UNIVERSITY OF MIAMI: INFLIT, 2013	2013	1	1-1		
{2}			FILHO SILV, A. M.; ALVES, A. J.; CALIXTO, W. P.	Geoprospecção Aplicada a Caracterização do Solo	X Congresso de pesquisa, ensino e extensão - CONPEEX	2013		-		
{21}			OLIVEIRA, C. B. A.; FONSECA-ZANG, W. A.; ZANG, J. W.; TEIXEIRA, L. S. M.; LEANDRO, W. M.; DE ALMEIDA, S.	Determinação e Quantificação de mercúrio em Composto de lixo	II Regiao Oeste Ciência solo	2013	1	1-4		
{2}			SILVA, C. A.; ALVES, A. J.; DOMINGUES, E. G.; CALIXTO, W. P.	Simulação e Otimização das filas nos elevadores do Fórum da cidade de Goiânia aplicando a teoria de Sistema a Eventos Discretos	X Congresso de pesquisa, ensino e extensão - CONPEEX	2013		-		
{21}			VEIGA, E. M. A.; SACK, S.; DE OLIVEIRA, S. B.; ZANG, J. W.; FONSECA-ZANG, W. A.; LEANDRO, W. M.	BIOCHAR OBTIDO NA CARBONIZAÇÃO HIDROTERMAL DE TORTA DE FILTRO DO SETOR SUCROALCOOLEIRO NA PRODUTIVIDADE DA ALFACE LISA EM SISTEMA DE CULTIVO ORGÂNICO.	II Regiao Oeste Ciência solo	2013	1	1-4		
{2}			BARBOSA, J. L. F.; CALIXTO, W. P.; BRITO, L. C.; ALVES, A. J.; COIMBRA, A. P.	Otimização da Lente Secundária para Lâmpadas de LED	IX Congresso de Pesquisa Ensino e Extensão - IX CONPEEX	2012		-		
{22}			CALIXTO, W. P.; ALVARENGA, B. P.; BRITO, L. C.; ALVES, A. J.; SOARES, M. G.; SILVA, F. R. A.; NETO MARTI, L.	Methodology for Tridimensional Geoelectrical Prospection	IV Simpósio Brasileiro de Sistemas Elétricos ? IV SBSE	2012		-		
{21}			FONSECA-ZANG, W. A.; ZANG, J. W.; CASANOVA, M.; SOUSA, D. C. S. E.	Síntese, Carcterização e Estudo de Estabilidade de Nanopartículas de Magnetita.	SIMPEEX 2012	2012	1	-		
{22}			SILVA, F. R. A.; ALVARENGA, B. P.; CALIXTO, W. P.	Modelo do Motor a Relutância Variável com Base  na Energia Magnética Armazenada	IV Simpósio Brasileiro de Sistemas Elétricos ? IV SBSE	2012		-		
